State/UT,District,Grade,District Score 2018-19 - Overall,District Score 2018-19 - Category - 1.Outcome (290),District Score 2018-19 - Category - 2. ECT (90),District Score 2018-19 - Category - 3. IF&SE (51),District Score 2018-19 - Category - 4.SS&CP (35),District Score 2018-19 - Category - 5. DL (50),District Score 2018-19 - Category - 6. GP (84)
Mizoram,Serchhip,Akanshi-1,125,80,10,23,NA,7,4
Mizoram,Lawngtlai,Akanshi-2,106,62,10,28,NA,3,3
Nagaland,Wokha,Prachesta-2,298,147,62,36,14,8,31
Nagaland,Mokokchung,Prachesta-2,294,127,71,40,14,10,32
Nagaland,Phek,Prachesta-2,279,126,63,37,14,7,31
Nagaland,Zunheboto,Prachesta-2,274,119,65,38,14,7,31
Nagaland,Kiphire,Prachesta-2,270,125,61,34,13,5,31
Nagaland,Dimapur,Prachesta-2,256,116,45,38,10,15,31
Nagaland,Peren,Prachesta-2,255,103,56,38,17,9,31
Nagaland,Tuensang,Prachesta-2,254,116,57,31,14,4,31
Nagaland,Kohima,Prachesta-3,240,119,43,27,7,12,31
Nagaland,Mon,Prachesta-3,233,87,60,36,12,6,31
Nagaland,Longleng,Prachesta-3,226,87,57,35,9,7,32
Odisha,Jagatsinghpur,Ati-Uttam,438,224,77,40,33,7,57
Odisha,Ganjam,Uttam,417,176,82,39,29,32,59
Odisha,Puri,Uttam,415,183,80,40,35,15,61
Odisha,Cuttack,Uttam,390,181,68,40,35,5,61
Odisha,Bhadrak,Uttam,385,173,79,39,30,5,59
Odisha,Nayagarh,Uttam,384,171,79,39,34,5,56
Odisha,Balasore,Uttam,382,181,77,39,28,5,51
Odisha,Angul,Uttam,375,161,76,40,35,13,51
Odisha,Kendrapara,Uttam,367,152,75,39,35,5,60
Odisha,Sundergarh,Uttam,366,152,78,37,33,9,58
Odisha,Mayurbhanj,Uttam,363,154,77,41,35,7,49
Odisha,Nuapada,Prachesta-1,357,142,83,41,32,4,57
Odisha,Jharsuguda,Prachesta-1,357,157,81,41,33,5,40
Odisha,Boudh,Prachesta-1,357,146,80,41,30,8,51
Odisha,Sonepur,Prachesta-1,356,147,75,40,31,3,60
Odisha,Dhenkanal,Prachesta-1,355,146,78,41,33,5,54
Odisha,Nabarangpur,Prachesta-1,352,139,77,40,33,3,61
Odisha,Keonjhar,Prachesta-1,344,134,82,35,31,4,58
Odisha,Bolangir,Prachesta-1,336,156,75,39,30,4,32
Odisha,Sambalpur,Prachesta-1,335,126,80,39,30,4,55
Odisha,Deogarh,Prachesta-1,335,138,69,39,26,5,58
Odisha,Gajapati,Prachesta-1,334,126,79,39,30,3,57
Odisha,Khurdha,Prachesta-1,329,161,67,33,21,5,43
Odisha,Kalahandi,Prachesta-1,327,130,69,38,35,3,51
Odisha,Kandhamal,Prachesta-1,322,114,80,42,24,3,59
Odisha,Malkangiri,Prachesta-1,319,122,83,38,35,3,39
Odisha,Jajpur,Prachesta-1,310,159,66,40,12,5,29
Odisha,Rayagada,Prachesta-1,306,111,73,39,29,3,51
Odisha,Koraput,Prachesta-1,305,103,75,40,29,3,56
Odisha,Baragarh,Prachesta-2,263,139,68,32,16,5,3
Puducherry,Mahe,Uttam,399,139,83,46,35,30,66
Puducherry,Yanam,Uttam,398,146,83,45,35,24,65
Puducherry,Karaikal,Uttam,391,140,83,43,35,26,64
Puducherry,Pondicherry,Uttam,385,135,83,43,35,25,64
Punjab,Gurdaspur,Uttam,407,160,78,37,35,19,79
Punjab,Firozpur,Uttam,395,152,78,35,35,18,77
Punjab,Nawanshahr,Uttam,395,145,79,37,35,21,77
Punjab,Jalandhar,Uttam,389,140,78,37,35,21,79
Punjab,Sangrur,Uttam,387,139,78,37,35,22,77
Punjab,Faridkot,Uttam,386,135,78,37,35,23,78
Punjab,Ludhiana,Uttam,386,137,78,36,35,24,75
Punjab,Amritsar,Uttam,383,134,78,40,35,21,75
Punjab,Mansa,Uttam,383,131,78,37,35,22,80
Punjab,Pathankot,Uttam,382,134,78,38,35,19,78
Punjab,Hoshiarpur,Uttam,380,133,78,38,35,20,76
Punjab,Mohali,Uttam,380,131,78,36,35,22,77
Punjab,Fazilka,Uttam,380,135,78,36,35,19,77
Punjab,Kapurthala,Uttam,377,130,78,37,35,20,77
Punjab,Moga,Uttam,377,127,79,37,35,23,76
Punjab,Bathinda,Uttam,376,124,78,37,35,24,77
Punjab,Taran Taran,Uttam,374,126,78,37,35,20,79
Punjab,Barnala,Uttam,368,120,79,37,30,25,78
Punjab,Fatehgarh Sahib,Uttam,367,120,79,35,35,21,77
Punjab,Rupnagar,Uttam,364,118,78,37,35,18,78
Punjab,Patiala,Uttam,362,116,78,36,35,20,77
Punjab,Muktsar,Uttam,362,112,78,37,35,23,77
Rajasthan,Sikar,Ati-Uttam,476,224,81,37,35,35,63
Rajasthan,Jhunjhunu,Ati-Uttam,472,234,81,38,33,32,54
Rajasthan,Jaipur,Ati-Uttam,470,218,81,36,35,37,63
Rajasthan,Tonk,Ati-Uttam,452,205,80,38,35,33,61
Rajasthan,Nagaur,Ati-Uttam,451,226,81,36,30,21,57
Rajasthan,Bundi,Ati-Uttam,444,202,78,40,35,34,56
Rajasthan,Jalor,Ati-Uttam,443,203,81,36,35,28,60
Rajasthan,Bikaner,Ati-Uttam,442,194,79,39,35,34,61
Rajasthan,Jodhpur,Ati-Uttam,439,201,77,36,35,29,61
Rajasthan,Kota,Ati-Uttam,433,200,80,35,35,27,56
Rajasthan,Bhilwara,Ati-Uttam,433,195,80,40,33,28,57
Rajasthan,Barmer,Ati-Uttam,430,192,80,37,35,27,59
Rajasthan,Ajmer,Ati-Uttam,428,196,80,35,35,22,60
Rajasthan,Dhaulpur,Ati-Uttam,427,206,72,35,35,22,58
Rajasthan,Jhalawar,Ati-Uttam,427,193,80,38,33,23,60
Rajasthan,Alwar,Ati-Uttam,427,195,80,35,35,24,58
Rajasthan,Sawai Madhopur,Ati-Uttam,426,207,77,35,29,22,57
Rajasthan,Chittaurgarh,Ati-Uttam,425,181,78,37,34,34,62
Rajasthan,Ganganagar,Ati-Uttam,424,190,80,36,35,23,58
Rajasthan,Dausa,Ati-Uttam,423,204,74,34,35,16,61
Rajasthan,Jaisalmer,Ati-Uttam,422,208,76,34,32,15,57
Rajasthan,Pratapgarh (Raj.),Uttam,419,179,78,38,35,32,57
Rajasthan,Bharatpur,Uttam,417,195,79,38,32,20,54
Rajasthan,Hanumangarh,Uttam,416,184,79,39,35,22,58
Rajasthan,Baran,Uttam,415,201,74,31,28,27,54
Rajasthan,Churu,Uttam,413,207,60,36,27,27,55
Rajasthan,Rajsamand,Uttam,406,185,72,38,29,26,56
Rajasthan,Karauli,Uttam,406,184,79,30,35,19,58
Rajasthan,Udaipur,Uttam,403,181,79,37,35,17,54
Rajasthan,Sirohi,Uttam,399,171,75,36,33,27,57
Rajasthan,Pali,Uttam,392,165,73,35,32,30,58
Rajasthan,Dungarpur,Uttam,382,174,75,35,29,12,58
Rajasthan,Banswara,Uttam,365,161,78,31,34,8,52
Sikkim,West Sikkim,Prachesta-1,328,114,80,31,29,14,59
Sikkim,East Sikkim,Prachesta-1,322,113,79,32,23,15,60
Sikkim,North Sikkim,Prachesta-1,303,126,74,32,30,13,28
Sikkim,South Sikkim,Prachesta-2,293,114,56,41,20,11,52
Tamil Nadu,Kanniyakumari,Uttam,419,157,82,41,35,21,83
Tamil Nadu,Kancheepuram,Uttam,418,159,81,41,35,19,84
Tamil Nadu,Villupuram,Uttam,418,162,82,36,35,21,82
Tamil Nadu,Dharmapuri,Uttam,414,168,80,32,35,16,82
Tamil Nadu,Tiruvallur,Uttam,412,159,81,36,35,17,83
Tamil Nadu,Erode,Uttam,408,151,83,38,35,17,84
Tamil Nadu,Sivagangai,Uttam,408,159,80,36,35,15,82
Tamil Nadu,Tiruvannamalai,Uttam,406,154,82,37,35,14,84
Tamil Nadu,Perambalur,Uttam,405,151,83,37,35,16,84
Tamil Nadu,Ramanathapuram,Uttam,404,157,80,36,35,13,83
Tamil Nadu,Dindigul,Uttam,402,154,80,37,35,13,83
Tamil Nadu,Tirunelveli,Uttam,402,153,80,36,35,14,83
Tamil Nadu,Namakkal,Uttam,402,144,84,38,35,17,84
Tamil Nadu,Salem,Uttam,401,148,82,36,35,17,82
Tamil Nadu,Tiruvarur,Uttam,400,141,83,42,35,17,82
Tamil Nadu,Chennai,Uttam,400,136,83,40,35,24,81
Tamil Nadu,The Nilgiris,Uttam,399,146,81,35,35,19,82
Tamil Nadu,Coimbatore,Uttam,399,138,83,42,35,19,82
Tamil Nadu,Thanjavur,Uttam,398,150,80,36,35,14,84
Tamil Nadu,Cuddalore,Uttam,397,142,80,41,35,15,83
Tamil Nadu,Karur,Uttam,397,152,81,33,35,15,81
Tamil Nadu,Virudhunagar,Uttam,393,143,82,36,35,15,82
Tamil Nadu,Thoothukkudi,Uttam,391,146,80,34,35,13,83
Tamil Nadu,Pudukkottai,Uttam,391,141,80,38,35,13,84
Tamil Nadu,Nagapattinam,Uttam,388,139,80,36,35,16,82
Tamil Nadu,Vellore,Uttam,388,141,80,36,35,14,82
Tamil Nadu,Madurai,Uttam,388,133,83,41,35,15,81
Tamil Nadu,Theni,Uttam,386,133,80,36,35,17,84
Tamil Nadu,Tiruchirappalli,Uttam,385,133,84,36,35,15,83
Tamil Nadu,Krishnagiri,Prachesta-1,352,99,83,37,35,15,84
Tamil Nadu,Tiruppur,Prachesta-1,301,68,82,37,35,5,74
Tamil Nadu,Ariyalur,Prachesta-2,299,70,81,35,35,5,74
Telangana,Khammam,Uttam,392,154,78,40,30,9,82
Telangana,Warangal Urban,Uttam,391,168,74,41,23,10,74
Telangana,Rangareddy,Uttam,387,164,68,36,24,16,78
Telangana,Sangareddy,Uttam,381,152,73,41,35,8,73
Telangana,Medchal,Uttam,381,161,64,40,26,17,73
Telangana,Siddipet,Uttam,376,169,72,33,17,9,76
Telangana,Karimnagar,Uttam,375,167,71,33,14,11,80
Telangana,Rajanna,Uttam,369,150,67,35,27,10,81
Telangana,Hyderabad,Uttam,365,154,61,32,26,19,72
Telangana,Jangaon,Uttam,364,162,71,37,10,7,77
Telangana,Mancherial,Uttam,362,164,66,31,22,6,73
Telangana,Bhadradri,Uttam,360,144,71,36,23,5,81
Telangana,Nalgonda,Prachesta-1,358,143,68,35,26,8,78
Telangana,Warangal Rural,Prachesta-1,356,137,74,35,28,8,75
Telangana,Peddapalli,Prachesta-1,356,147,69,34,18,10,79
Telangana,Vikarabad,Prachesta-1,351,122,79,36,30,7,76
Telangana,Suryapet,Prachesta-1,348,126,72,36,29,9,77
Telangana,Nizamabad,Prachesta-1,348,153,67,32,20,10,66
Telangana,Medak,Prachesta-1,345,127,69,32,35,6,76
Telangana,Mulugu,Prachesta-1,335,121,67,35,30,4,79
Telangana,Kamareddy,Prachesta-1,334,138,58,25,30,8,74
Telangana,Nirmal,Prachesta-1,330,136,57,35,18,8,75
Telangana,Wanaparthy,Prachesta-1,330,145,67,33,5,7,74
Telangana,Yadadri,Prachesta-1,328,134,62,40,22,10,61
Telangana,Mahabubabad,Prachesta-1,326,117,68,41,19,4,77
Telangana,Adilabad,Prachesta-1,325,96,67,42,35,5,81
Telangana,Jagtial,Prachesta-1,322,125,62,35,15,7,77
Telangana,Jayashankar,Prachesta-1,320,125,74,31,7,7,76
Telangana,Komaram Bheem,Prachesta-1,315,110,68,34,30,4,70
Telangana,Jogulamba,Prachesta-1,311,136,54,41,5,7,68
Telangana,Mahabubnagar,Prachesta-1,301,123,53,30,17,7,72
Telangana,Nagarkurnool,Prachesta-2,297,122,57,32,5,5,77
Telangana,Narayanapet,Prachesta-2,259,92,45,30,12,6,74
Tripura,Khowai,Prachesta-1,336,140,75,39,27,1,54
Tripura,Gomati,Prachesta-1,321,139,69,38,19,3,54
Tripura,Sepahijala,Prachesta-1,321,133,73,39,20,3,54
Tripura,West Tripura,Prachesta-1,320,136,64,41,20,5,54
Tripura,Dhalai,Prachesta-2,300,111,70,38,28,1,53
Tripura,South Tripura,Prachesta-2,300,132,64,39,13,1,51
Tripura,North Tripura,Prachesta-2,297,125,72,37,24,2,36
Tripura,Unakoti,Prachesta-2,273,121,51,39,15,3,44
Uttar Pradesh,Barabanki,Ati-Uttam,423,201,80,42,35,4,61
Uttar Pradesh,Gautam Buddha Nagar,Ati-Uttam,420,175,78,43,33,32,60
Uttar Pradesh,Auraiya,Uttam,416,193,75,39,32,17,61
Uttar Pradesh,Allahabad,Uttam,408,171,79,34,35,28,62
Uttar Pradesh,Sultanpur,Uttam,407,165,79,40,35,25,63
Uttar Pradesh,Unnao,Uttam,400,172,75,41,32,27,54
Uttar Pradesh,Meerut,Uttam,399,171,81,41,35,10,61
Uttar Pradesh,Azamgarh,Uttam,395,186,68,40,35,11,56
Uttar Pradesh,Kushinagar,Uttam,394,165,75,40,29,26,59
Uttar Pradesh,Basti,Uttam,393,180,78,39,32,12,53
Uttar Pradesh,Jhansi,Uttam,391,155,81,43,35,16,62
Uttar Pradesh,Mathura,Uttam,391,159,77,42,30,25,57
Uttar Pradesh,Farrukhabad,Uttam,390,166,79,35,35,14,61
Uttar Pradesh,Siddharthnagar,Uttam,388,161,79,38,34,21,54
Uttar Pradesh,Lalitpur,Uttam,386,162,59,41,32,30,62
Uttar Pradesh,Jaunpur,Uttam,385,167,77,38,35,6,62
Uttar Pradesh,Aligarh,Uttam,385,182,78,37,22,7,60
Uttar Pradesh,Gonda,Uttam,385,167,80,41,35,3,60
Uttar Pradesh,Amethi - CSM Nagar,Uttam,384,160,79,38,35,9,63
Uttar Pradesh,Pratapgarh,Uttam,379,156,79,39,35,7,62
Uttar Pradesh,Deoria,Uttam,378,142,78,40,35,21,62
Uttar Pradesh,Ballia,Uttam,376,157,76,38,32,10,62
Uttar Pradesh,Kanpur Dehat,Uttam,376,177,75,35,26,5,58
Uttar Pradesh,Jyotiba Phule Nagar (Amroha),Uttam,371,172,74,39,33,3,51
Uttar Pradesh,Ghaziabad,Uttam,370,147,80,42,34,11,57
Uttar Pradesh,Shrawasti,Uttam,365,126,78,39,34,14,74
Uttar Pradesh,Hathras,Uttam,365,170,75,42,18,18,42
Uttar Pradesh,Agra,Uttam,364,148,74,41,34,5,61
Uttar Pradesh,Lucknow,Uttam,363,132,70,43,31,30,57
Uttar Pradesh,Faizabad,Uttam,362,148,74,40,34,5,61
Uttar Pradesh,Mau,Uttam,361,157,72,37,24,10,61
Uttar Pradesh,Etawah,Prachesta-1,359,146,75,45,34,2,58
Uttar Pradesh,Hapur (Panchsheel Nagar),Prachesta-1,356,137,79,44,35,4,59
Uttar Pradesh,Sant Kabir Nagar,Prachesta-1,356,147,77,36,33,4,60
Uttar Pradesh,Moradabad,Prachesta-1,354,128,78,34,30,27,58
Uttar Pradesh,Ambedkar Nagar,Prachesta-1,352,184,57,35,25,9,42
Uttar Pradesh,Hamirpur (U.P.),Prachesta-1,352,164,68,42,18,2,58
Uttar Pradesh,Saharanpur,Prachesta-1,352,136,81,42,30,4,58
Uttar Pradesh,Chitrakoot,Prachesta-1,347,136,74,34,34,10,59
Uttar Pradesh,Mirzapur,Prachesta-1,345,126,79,41,35,8,56
Uttar Pradesh,Kanpur Nagar,Prachesta-1,343,130,65,42,31,12,63
Uttar Pradesh,Shamli (Prabudh Nagar),Prachesta-1,342,115,82,44,35,14,51
Uttar Pradesh,Sonbhadra,Prachesta-1,341,126,79,40,30,3,62
Uttar Pradesh,Bijnor,Prachesta-1,340,159,72,42,18,4,45
Uttar Pradesh,Balrampur Up,Prachesta-1,339,121,74,42,33,10,59
Uttar Pradesh,Bareilly,Prachesta-1,337,139,78,37,34,6,42
Uttar Pradesh,Bhadoi,Prachesta-1,336,170,59,35,11,5,56
Uttar Pradesh,Mainpuri,Prachesta-1,336,150,62,42,20,11,50
Uttar Pradesh,Bahraich,Prachesta-1,335,129,69,39,31,10,57
Uttar Pradesh,Kanshiram Nagar,Prachesta-1,332,113,72,39,30,20,58
Uttar Pradesh,Gorakhpur,Prachesta-1,331,136,74,39,28,5,48
Uttar Pradesh,Shahjahanpur,Prachesta-1,330,132,79,41,19,2,58
Uttar Pradesh,Firozabad,Prachesta-1,326,140,70,38,22,14,43
Uttar Pradesh,Baghpat,Prachesta-1,325,141,69,39,11,15,49
Uttar Pradesh,Chandauli,Prachesta-1,325,163,59,36,23,4,39
Uttar Pradesh,Varanasi,Prachesta-1,324,124,75,41,34,13,39
Uttar Pradesh,Banda,Prachesta-1,324,131,61,41,28,4,59
Uttar Pradesh,Jalaun,Prachesta-1,323,167,70,30,16,2,39
Uttar Pradesh,Fatehpur,Prachesta-1,321,140,65,40,29,2,46
Uttar Pradesh,Hardoi,Prachesta-1,320,106,80,39,28,13,54
Uttar Pradesh,Budaun,Prachesta-1,318,111,80,31,31,4,60
Uttar Pradesh,Maharajganj,Prachesta-1,317,121,65,36,26,23,45
Uttar Pradesh,Kheri,Prachesta-1,316,111,76,40,28,5,56
Uttar Pradesh,Mahoba,Prachesta-1,316,154,62,40,24,3,33
Uttar Pradesh,Sitapur,Prachesta-1,316,136,72,42,20,4,42
Uttar Pradesh,Kaushambi,Prachesta-1,315,125,65,42,20,4,59
Uttar Pradesh,Sambhal (Bhim Nagar),Prachesta-1,313,116,77,40,29,15,36
Uttar Pradesh,Kannauj,Prachesta-1,309,104,78,35,33,4,55
Uttar Pradesh,Ghazipur,Prachesta-1,308,94,72,35,23,23,61
Uttar Pradesh,Rae Bareli,Prachesta-1,307,142,60,34,21,2,47
Uttar Pradesh,Etah,Prachesta-1,301,111,67,39,20,7,57
Uttar Pradesh,Rampur,Prachesta-1,300,101,74,36,27,3,59
Uttar Pradesh,Bulandshahr,Prachesta-2,295,114,77,33,35,5,31
Uttar Pradesh,Muzaffarnagar,Prachesta-2,288,120,71,38,30,4,25
Uttar Pradesh,Pilibhit,Prachesta-2,274,141,53,31,9,2,37
Uttarakhand,Bageshwar,Uttam,365,165,70,39,25,8,58
Uttarakhand,Dehradun,Uttam,365,169,76,35,22,12,51
Uttarakhand,Nainital,Prachesta-1,337,165,69,41,17,9,37
Uttarakhand,Pauri,Prachesta-1,334,177,74,40,14,7,22
Uttarakhand,Almora,Prachesta-1,331,149,75,35,30,5,38
Uttarakhand,Champawat,Prachesta-1,330,137,73,33,29,6,51
Uttarakhand,Tehri Garhwal,Prachesta-1,313,172,66,32,19,5,18
Uttarakhand,Hardwar,Prachesta-1,311,153,75,32,17,9,25
Uttarakhand,Rudraprayag,Prachesta-1,308,164,50,39,13,7,34
Uttarakhand,Uttarkashi,Prachesta-2,244,102,67,34,13,5,24
Uttarakhand,Chamoli,Prachesta-3,218,134,18,40,16,5,5
Uttarakhand,Udham Singh Nagar,Prachesta-3,198,139,10,24,NA,10,15
Uttarakhand,Pithoragarh,Prachesta-3,197,120,9,33,NA,5,29
West Bengal,Kolkata,Ati-Uttam,439,205,78,42,34,21,60
West Bengal,Purba Medinipur,Uttam,406,201,79,39,20,3,63
West Bengal,South 24 Parganas,Uttam,405,175,80,35,32,22,62
West Bengal,Murshidabad,Uttam,402,173,77,43,35,13,61
West Bengal,Dakshin Dinajpur,Uttam,397,169,81,39,33,17,57
West Bengal,Jhargram,Uttam,394,171,76,37,32,20,59
West Bengal,Paschim Medinipur,Uttam,392,175,77,40,35,2,63
West Bengal,Cooch Bihar,Uttam,390,166,82,41,31,9,61
West Bengal,Paschim Bardhaman,Uttam,387,161,66,38,34,30,58
West Bengal,Howrah,Uttam,387,167,79,41,35,5,59
West Bengal,Siliguri,Uttam,378,152,81,40,35,7,63
West Bengal,Jalpaiguri,Uttam,374,136,79,38,33,29,60
West Bengal,Maldah,Uttam,373,160,77,38,35,3,60
West Bengal,Purba Bardhaman,Uttam,367,180,72,33,22,4,58
West Bengal,Hooghly,Uttam,364,174,78,35,26,5,46
West Bengal,Purulia,Prachesta-1,359,145,79,38,33,2,62
West Bengal,Alipurduar,Prachesta-1,358,160,76,38,26,13,44
West Bengal,North 24 Parganas,Prachesta-1,356,136,80,38,26,13,63
West Bengal,Birbhum,Prachesta-1,353,145,73,41,29,3,61
West Bengal,Bankura,Prachesta-1,328,164,57,39,5,3,59
West Bengal,Nadia,Prachesta-2,300,145,69,40,5,3,38
West Bengal,Uttar Dinajpur,Prachesta-2,281,130,78,35,34,2,3
West Bengal,Kalimpong,Prachesta-3,215,70,80,24,28,4,9
West Bengal,Darjeeling,Akanshi-1,165,41,63,30,5,0,26
